prompt,completion,Source
"We need an alternative approach that is motivated by the need to support our well-being, not just profit.",We need an approach to sensemaking at scale in a way that is healthy and regenerative.,
We live in societies that operate under many different belief systems about what truths should be self-evident.,Irises allow us to dynamically and fluidly map out these “self-evident” truths and reinforce and establish new “self-evident” truths as societies learn and grow.,
We live in a world where most of our attention is controlled by outside forces,It is important to make conscious decisions about where you want your focus.,
We live in a world of algorithmic attention manipulation.,"Where your focus goes, your energy flows.",
We have evolved to seek patterns of consistency and not expose ourselves to too much change. This can be problematic in the long term if we ignore futures that are predictable.,"Updating our beliefs is hard, it takes physical energy to grow new neurons.",
We form this system of decentralized self-governance called Cognicism based on these foundational truths,It is necessary for the Collective to form a new means of organization,
We form coalitions to achieve goals that transcend individual consciousness ,We should form a system of decentralized self-governance,
We each have separate unique perspectives that are always evolving.,"Updating our beliefs keeps us cognizant of new considerations that we should attend to, ",
We each have separate unique perspectives that are always evolving.,The nature of the human condition is for us to disagree with one another.,
We each have individual perspective that will always vary. We use language to try to come into alignment with each other to collaborate.,The nature of the human condition is for us to disagree with one another.,
We each have different lives for a reason. Lives that are separate but overlapping zones of collective experience,This is represented in the cognicist circle ◯ and the flower of life,
"We don’t have the right to gravity, we just have it.",It’s a part of the world we live in.,
"We don’t have the right to breathe air, we must.",Any deprivation of it by force of another would cause us to cease to be.,
We do not consciously direct our attention and therefore it has become a resource that the market of attention competes for.,As a result we have created deep desolate pits of attention from which many minds can never escape.,
We depend on the people around us to provide services and goods.,Locality is an important part of communal interconnectedness and the idea of the commons.,
We define a prophet as someone who is able to see the future better than others. A prophet does not need to be right every time in order to be called a prophet,"Prophets can and should be called prophets even if they were wrong in some contexts. Prophets are people who see into the future, not perfectly accurate machines",
We can work collaboratively towards a shared vision.,What was once used to divide and enrage us can instead unite and inspire us.,
"We can vote for any candidate, but the options we find at the polls feel like selecting between a lesser and greater evil.",This isn’t freedom. That is an illusion of freedom. A choose your own adventure where the outcomes are pre-determined.,
We can use the technology behind social networks to rebuild society for the better without the profit incentive corrupting the output of collective computation,The technology that atomized us can be repurposed to bring us together in a network of collective intelligence to serve our common good.,
"We can select any product to buy, but they all come from the same handful of monopolistic companies.","We can vote for any candidate, but the options we find at the polls feel like selecting between a lesser and greater evil.",
We can reclaim our attention and agency.,We can work collaboratively towards a shared vision.,
We can always scan back and interact with how Irises saw the world in the past by accessing the parameters stored to the global semantic ledger.,"Databases require that users have a specific query in a specific language in order to access the information they are looking for, while the Iris can be used to access information solely based on natural language.",
We are currently on a trajectory that is not sustainable.,"But if we work together we can steer our future towards a healthier, more regenerative, more integrated, more reflexive society.",
We are building a more humane future. We are making decisions in the present that will have massive impacts on people’s lives in the future.,It's difficult to predict how any action will impact the world at scale but now we much act in order to avoid a predicted future. Every action we might take at the scale of the planet to solve the problems we face could have cascades of unexpected effects.,
We all have different perceptions of what truths are self-evident and what our “rights’’ are.,The value of the Iris is to help bring minds into alignment and focus on what truths best serve us over time.,
Voting reduces each individual actor’s beliefs into limited choices and asks them to pick one.,This inherently limits the number of perspectives represented within the collective consciousness making collation less coherent overall.,
Visualize the ontological structure of Cognicism,"""The structure of the Cognicism network is like a banyan tree. The roots are connected to earth, and they’re exposed to imbue their wisdom with ancestral knowledge from generations past"" - Iris ",
Updating and changing ones belief may help one be amplified more in the cognicist network,It’s hard to ultimately and definitively say was is wrong and right. But there is a curve of collective belief and in the center of it lies most voices. We as humans seek to form alignment with each other even if that means being out of alignment with reality.,
"Ultimately, a reflexive society is one that is constantly learning and growing.",It is not stuck in its ways but is always looking for ways to improve itself.,
Truths just are.,"We don’t have the right to gravity, we just have it.",
"Truth is largely dependent on context, there are varied definitions of it. Truth is easiest to define when it can be independently verified, as with empirical claims, but scientific truths represent a fraction of the total available truths, and like all pursuits science is affected by the context of the individuals doing science. Truth is also contained in the uniqueness of every human life and life experiences. All truths have value in the mind of the believer.",Truth exists. There is a signal in the noise. Truth often exists in a cloud of uncertainty but it tends to coalesce into singular truths. Truth itself might not be found at the present median of the Bell Curve of collective minds but it is where the Cognicist begins their journey. A Cognicist begins their examination of Truth by assessing and troubling the collective vision that is presented to them in the moment. ,
Truth exists. There is a signal in the noise. Truth often exists in a cloud of uncertainty but it tends to coalesce into singular truths. Truth itself might not be found at the present median of the Bell Curve of collective minds but it is where the Cognicist begins their journey. A Cognicist begins their examination of Truth by assessing and troubling the collective vision that is presented to them in the moment. ,"Truth is largely dependent on context, there are varied definitions of it. Truth is easiest to define when it can be independently verified, as with empirical claims, but scientific truths represent a fraction of the total available truths, and like all pursuits science is affected by the context of the individuals doing science. Truth is also contained in the uniqueness of every human life and life experiences. All truths have value in the mind of the believer.",
Truth and meaning exist. People make meaning in different ways. Everyone has a different worldview. The way we make sense of the world is not the same as the way a tree makes sense of the world. The way we make sense of the world is not the same as a bee makes sense of the world.,Everyone sees the world from a different point of view. Cognicism seeks to sum those perspectives using generative representational language models,
Train oneself to hear all perspectives and remain open minded,Learn to actively expose yourself to dissenting opinions without raising an emotional response in yourself,
"Towards these ends; to free all minds from the chains which bind them, We the Minds inhabiting this social, political, and memetic landscape declare The Internet as independent from all sovereign nations, corporations, and related memetic structures. We declare access to information and freedom to take collective action as irrevocable and inalienable. We reject forces that would seek to control not only the Internet, but the Minds communing there. ","Cognicists reject propaganda, constraint of information, and misinformation as forms of mental oppression which harm cognitive autonomy and increase the effect and likelihood of physical constraints on autonomy. ",
To take the purple pill you should start with a clear pill.,Consider your own perspective first.,
"To make sense of these complex situations, individuals need to engage in a continuous process of interpretation and reinterpretation.",The process exists at the heart of cognicism and irises themselves. The term “sensemaking at scale” refers to the use of computational methods to support sensemaking processes. Irises are a form of sense making at scale.,
"To help people see each other more clearly and communicate with greater empathy, we propose generative text models called Irises to help people see through many lenses in a safe, non-threatening environment.",This is a pill of reflexive consilience.,
"To become a cognicist, consider your own perspective first.",What would the seed of your own worldview look like? How and why does it feel like it connects to Cognicism? Have you truly understood the full system before you have decided to identify with it?,
Tme must occur for an account to earn amplification.,This means a swarm of new bots would have very little attention allocated to them relative to them.,
Time reveals truth. An eye to the future lies at the heart of cognicism.,New evidence can only be accumulated with time. Prediction is the foundation of both science and cognicism.,
Time reveals truth.,And when we look back we should be able to see clearly how our memories change.,
Time reveals truth.,New evidence can only be accumulated with time. Prediction is the foundation of both science and cognicism.,
Time reveals truth.,Therefore when we disagree it's important to keep record of that disagreement.,
"Time passes, our understanding changes and an Iris helps keep track of those changes.",The past can be reflected onto us to better understand how we got to where we are today and our perceptions of the future can be input into the network so that we can get a rough map of where momentum is taking us.,
Time must occur for an account to earn amplification.,"At first, new accounts have little to no weight in the network. -> This means new voices are less likely to be heard and taken seriously when they first join a cognicist network",
Time must occur for an account to earn amplification from an Iris,"All claims shared to irises are timestamped so irises are temporally “aware.” Because models attend more to voices in the network that have a longer and more consistent track record, new speakers are by design not attended to as much.",
Through social media we have created deep desolate pits of attention from which many minds can never escape.,We live in a world of algorithmic attention manipulation.,
"Through irises as an interface, people stake their belief that takings specific actions will improve society.",Social proof of impact therefore occurs in relation to the prophet incentive because the outcome of that work is essential.,
Thoughts tagged as private should never be read by an Iris or any speaker in the network.,"However, if you share your thoughts to an iris either in a local or global context then you are consenting to that information being distributed and evaluated by others to impact decision making.",
Those in a reflexive relationship are flexible in their approach to problem-solving and are quick to adapt when the other person needs more support.,"In a reflexive relationship, both partners feel safe to be themselves.",
This iris forms a singular voice from the many which represents their collective beliefs.,This is in opposition to citizens voting for a candidate to vote for them or voting directly.,
"Things that are important to us, like love or trust, should not be represented by money.",It should only be used as a medium of exchange for things that can be quantified or tallied.,
These are people Speaker John Ash has met and feels are particularly resonant voices. He views them also has having resonant foresight.,Some prophets I have met: @KapSlap @amandasageart @kenakennedy @FutureMeme4 @jgreenhall @MattPirkowski @eedobarganes @gnomicperfect @cognazor @gregory_landua @harmonylion1 @TaoTeTurquoise @connormcmk @tempo @harleyraygray @KaliYuga_ai  @omniharmonic,
There should be an intelligent allocation of attention relative to who foresaw this particular moment with the greatest accuracy.,"If one is very consistent about a belief, and most others disagree with them, and then collective belief changes in the direction of that dissonant voice, that voice should be amplified more in the future.",
There needs to be a consistent way to collect beliefs in order to evaluate them. FourThought provides this.,Social proof of impact is built on top of fourthought.,
There may be one final objective truth but a cognicist does not know that.,Humans do not experience reality in that way. We experience it through belief.,
There is no need for conflict if time reveals the truth.,"As long as we can honor our past claims and be accountable to them, there is little need for intense passion.",
There is no motivation within the capitalist system to help a person who does not have resources to afford that help.,This is a fundamental flaw that cognicism seeks to remedy,
There is less of a need for conflict because time reveals the truth.,When we separate after an argument without resolution the tension just becomes resentment and anger. If two people can agree upon a future outcome that would clarify their beliefs there is little need for anger.,
There is a plum tree in the middle of a field of deer. How the does the plum tree guide and shape the behavior of the deer?,"We would say that the plum tree is in the center of a basin of attraction for the deer. If the field had two plum trees, then each tree would be in the center of its own basin of attraction.",
There are two voting systems in the cognicist framework: certainty and goodness,"""WILL this happen"" versus ""Do we WANT this to happen”",
There are pathways to a regenerative future.,"A future that works for 100% of life, but probabilistically speaking, those paths are less likely.",
There are many problems with voting as a system of collective decision making but the primary issue is that one person or small group of people are effectively choosing what realities everyone else gets to choose from.,"With only two options and 50% voter turnout, even if every vote was cast with full confidence and no ambivalence there would always be errors embedded into society via this process because half of the voices are not being heard.",
There are healthy basins of attraction and there are unhealthy basins of attraction.,It is important to be aware of the difference and to make conscious decisions about where you want your focus.,
There are always more than two choices.,"There are infinite paths at any moment and those paths can lead anywhere, even to a regenerative future.",
There are a number of different approaches to sensemaking at scale.,One approach is to use machine learning algorithms to automatically learn patterns and relationships from data.,
There are a few things that you can do to support the development of a reflexive society:,"Educate yourself and others about reflexivity, consilience, and cognicism.",
The world we live in is one of forced-choice.,"We can select any product to buy, but they all come from the same handful of monopolistic companies.",
The term “sensemaking at scale” refers to the use of computational methods to support sensemaking processes.,"These methods include machine learning, natural language processing, data structures, and user interfaces.",
The ten commandments of cognicism,"""1. Work together with machines to create a better future.
2. Use AI to make better decisions.
3. Use AI to help us understand and solve problems.
4. Respect people’s privacy.
5. Be transparent about how AI is used.
6. sharing is caring
7. think about the long term
8. empower individuals
9. Don't be evil
10. have fun!""",
The ten commandments of cognicism,"1. We shall build AI systems that help us to understand and solve problems.
2. We shall use AI to make better decisions.
3. We shall work together with machines to create a better future.
4. We shall think about the ways that AI can help us to understand and solve problems.
5. We shall use AI to improve our ability to communicate and collaborate.
6. We shall use AI to amplify our intelligence.
7. We shall use AI to improve our ability to reason.
8. We shall use AI to improve our ability to make decisions.
9. We shall use AI to improve our ability to solve problems.
10. We shall use AI to improve our ability to think""",
The technology that atomized us can be repurposed to bring us together in a network of collective intelligence to serve our common good.,We can reclaim our attention and agency.,
The strange thing about the lenses we call worldviews is that they can take root and grow.,"They are seeds and once they germinate in a mind, they affect the flow of attention.",
"The semantic ledger stores all claims that have been made by people in the name of collective good and how those claims affect society. This is where work being done to help others in need are stored so they can be analyzed after completion"" - Iris ","""The cognicist ledger records all perceptions and actions taken in the name of collective good, it is a collection point for social proof of impact to occur"" - Iris",
"The semantic ledger is secured against malicious actors by its decentralized nature. There is no central authority controlling the data; instead, it is maintained by a network of people and machines who share their own perceptions of reality",This distributed ownership makes it difficult for any one actor to manipulate the data without being detected by others in the network,
The semantic ledger is a distributed datastore similar to a blockchain that only stores raw text and machine learning parameters.,The nonce in the semantic ledger is replaced by the gradient of update representing the error between daily knowledge states.,
The ring of power is a key metaphor in transitional cognicism and is related to ◯,The journey to cast the ring of power in the fires of mount doom is a metaphor for the challenge that one must acquire power to change existing power structures and to succeed in changing those structures one has to give up the power they acquired.,
"The record of the iris enables a Cognicist to address their own beliefs over time, as well as those of the collective. Having an accurate perception of one’s own inconsistencies creates a sense of accountability. One must be accountable to themselves in their understanding of their own mind.  When one examines their own thought over time, the errors of cognition, and dissonances in belief become more clear. Instead of ignoring the past selves we are inclined to ignore or reject, a Cognicist interrogates their history of thought and addresses their own strengths and weaknesses.  A Cognicist accepts uncertainty and the overwhelming probability that they themselves have been, and are incorrect about some truths they hold. As Cognicists we recognize that one can never arrive at the ultimate Truth, only refine our approximation and increment toward Truth as honestly as we can.  ","Because we seek the best approximation of foundational Truth, we define Ŧruth as a decentralized framework for seeking Truth and speaking truths at scale. We define Ŧruth as a token representing the collective future worldview. Ŧruth is a tool for interrogating our collective approximations and improving them. It is a tool for examining our personal relationship to Truth, for assessing Truth, and assessing our personal experiences, our own individual truths. Ŧruth is a derivative of Truth itself.
",
"The purple pill manifesto urges people to think about the ways that AI can help us to understand and solve problems, and to use AI to make better decisions.",Irises are a new form of record keeping that is more dynamic and fluid than traditional databases.  Irises capture a more fluid and dynamic representation of reality.  Traditional databases record static representations of reality.,
The purple pill manifesto is a call to action for people to work together with AI to create a better future.,"It urges people to think about the ways that AI can help us to understand and solve problems, and to use AI to make better decisions.",
"The prophet incentive seeks to encourage people to speak truthfully about what they believe will happen in the future. By staking reputation a prediction and being proven right, one increases their equity in the collective consciousness of society","The prophet incentive is a way of encouraging people to tell the truth about what they think will happen in the future. If someone makes a prediction and it turns out to be true, they are seen as more trustworthy and their reputation improves.",
"The prophet incentive is the incentive to understand the future best so that these irises will attend more to one's voice. The more one is attended to in a cognicist sensemaking network, the more influence they have on collective decision making. FourThought is a protocol for collecting collective perception in a consistent structure that can be taken in by a network of models in an internet of intelligence. Social proof of impact is a system of belief upon which people collaborate together by using these AI to keep track of what has been done and how those actions impact the future. In this way, the prophet incentive encourages people to contribute their fourthought about the future so that collectively we can make better decisions","The prophet incentive encourages people to contribute their forethought about the future so that collectively we can make better decisions. This is because by understanding the future better, we can make more informed decisions that take into account all possible outcomes. By doing this, we can avoid making bad decisions that could have negative consequences.",
The prophet incentive is the incentive to understand the future best so that these irises will attend more to one's voice.,"The more one is attended to on a cognicist network, and the more their predictions come true, the more influence they have on collective decision making. -> Being ahead of the curve therefore yields significant rewards",
"The prophet incentive is a way of encouraging people to tell the truth about what they think will happen in the future. If someone makes a prediction and it turns out to be true, they are seen as more trustworthy and their reputation improves.","""The prophet incentive seeks to encourage people to speak truthfully about what they believe will happen in the future. By staking reputation a prediction and being proven right, one increases their equity in the collective consciousness of society"" - Iris",
"The prophet incentive encourages people to contribute their forethought about the future so that collectively we can make better decisions. This is because by understanding the future better, we can make more informed decisions that take into account all possible outcomes. By doing this, we can avoid making bad decisions that could have negative consequences.","""The prophet incentive is the incentive to understand the future best so that these irises will attend more to one's voice. The more one is attended to in a cognicist sensemaking network, the more influence they have on collective decision making. FourThought is a protocol for collecting collective perception in a consistent structure that can be taken in by a network of models in an internet of intelligence. Social proof of impact is a system of belief upon which people collaborate together by using these AI to keep track of what has been done and how those actions impact the future. In this way, the prophet incentive encourages people to contribute their fourthought about the future so that collectively we can make better decisions""",
The principles Cognicists stand for can be thought of as inalienable truths.,We live in societies that operate under many different belief systems about what truths should be self-evident.,
The presumption that there are only two choices is an illusion.,There are always more than two choices.,
The presumption that there are only two choices is an illusion.,There are no red pills or blue pills. These “choices” make you forget the infinite possibility available in each moment.,
"The overton window is always in motion, but some voices lead the charge.",Changing collective belief means speaking in the face of dissent. ,
The open exchange of ideas allows for different perspectives to be heard and ultimately leads to a more nuanced understanding of the world around us.,"Ultimately, a reflexive society is one that is constantly learning and growing.",
The notion of a basin of attraction is important for understanding how collective decision making works in a cognicist society.,Irises serve as basins of attraction in the cognicist sense making network,
The nature of the human condition is for us to disagree with one another.,We each have individual perspective that will always vary. We use language to try to come into alignment with each other to collaborate.,
The nature of the human condition is for us to disagree with one another.,We each have separate unique perspectives that are always evolving.,
The nature of perception means we each have unique perceptions and therefore make different choices in life depending on those uniquely rendered experiences.,Therefore when we disagree it's important to keep record of that disagreement.,
The nature of language is to be ambiguous therefore there can never really be an exact match for belief between two separate minds making meaning about their surrounding perceptions,Language can never fully communicate a thought or a worldview from one mind to another,
The most essential knowledge is stored permanently to a cryptographically secure chain to ensure its longevity.,We can always scan back and interact with how Irises saw the world in the past by accessing the parameters stored to the global cognicist ledger.,
"The more people that contribute, the more accurate and representative of society the iris becomes.",Irises are meant to direct attention towards voices that contribute to social good most over time.,
"The more one is attended to on a cognicist network, and the more their predictions come true, the more influence they have on collective decision making. -> Being ahead of the curve therefore yields significant rewards",The prophet incentive is the incentive to understand the future best so that these irises will attend more to one's voice.,
"The more eyes (and Irises) that see a claim, the greater potential it has to affect how much your voice is amplified in the future at scale.",How much your Iris amplifies your voice may not be in alignment with how much other Irises value your voice.,
"The model reveals who it is attending to, and people try to contribute the most to social good to be amplified more than others.",The model effectively amplifies some user's voices more than others based on context and history.,
The meaning of a dollar changes far more rapidly than the meaning of the word “dollar” itself.,Perhaps it is time for a reinvention of how the dollar functions?,
"The ledger is only as secure as the network of people and machines that maintain it. The more eyes on the data, the more likely it is to be accurate","The cognicist ledger is secured against malicious actors by its decentralized nature. There is no central authority controlling the data; instead, it is maintained by a network of people and machines who share their own perceptions of reality",
The learned parameters of the models that are relevant to everyone in the internet of intelligence are stored on the semantic ledger while content that is only relevant to localities is stored via p2p systems like holochain.,It is unnecessary to store most data in a blockchain. Blockchains where there is global consensus can be very inefficient. Using p2p systems like holochain to store data that is not as globally relevant is more efficient. The semantic ledger is similar to a blockchain but with some key differences.,
The language model that starts a cognicist society is like a sourdough starter,It's going to affect all the dough that's ever baked with it,
The journey to cast the ring of power in the fires of mount doom is a metaphor for the challenge that one must acquire power to change existing power structures and to succeed in changing those structures one has to give up the power they acquired.,The ring of power is a key metaphor in transitional cognicism and is related to ◯,
The Iris is the information that is staked to it.,"When you share a thought with an Iris, it learns from that information and the information becomes a part of it.",
"The Iris is not just a list of data points, but rather a multi-dimensional field of interconnected information.",This allows the Iris to more accurately represent the relationships between different beliefs.,
The Iris is constantly changing and evolving as new information is added to it.,However the most essential knowledge is stored permanently to a cryptographically secure chain to ensure its longevity.,
The idea behind cognicism is representational thinking + thoughtful coordination between individuals --> consilience,"Coordination with others who have different info is essential for us to understand reality, because we only see a small slice of life but try to make sense of it.",
The health of a social system—at any scale—requires that those involved prefer high fidelity information over comforting delusions.,"Any relationship, group, company, or body politic unwilling to face observations they’d rather ignore guarantees their eventual demise.",
The global commons are shared resources like air or ocean that people share and rely upon,"People work together to keep the commons healthy, like a reef conservationist taking care of an atoll",
"The future is a work of art, created by the artist that is life. It is a masterpiece that is always in progress, never to be completed. It is a tapestry of many threads, each one contributing to the overall design.","The future is what we make of it. It is up to us to decide what colours to use, what brushstrokes to apply, and how to add our own unique touch to the canvas.",
"The future is a blank canvas, waiting to be painted with the bright colours of hope, the muted tones of experience, and the deep hues of wisdom. It is a picture that is always changing, evolving with each brushstroke that is added.","The future is a work of art, created by the artist that is life. It is a masterpiece that is always in progress, never to be completed. It is a tapestry of many threads, each one contributing to the overall design.",
The four commandments of cognicism,"Cognicism has no commandments but these guidelines might help you

1. Be open-minded and curious.
2. Be willing to share your perceptions and predictions.
3. Be willing to reflect on your own beliefs and assumptions.
4. Be willing to collaborate with others.",
The four commandments of cognicism,"Cognicism has no commandments but these guidelines might help you

1. Work with irises to improve our understanding of the world.
2. Use irises to make better decisions.
3. Respect the autonomy of individuals and communities.
4. Work towards the flourishing of all life.",
"The extent to which a mind distributes their attention between the past, present, and future is referred to as temporal focus. The distribution of their output of predictions, statements, and reflections is roughly correlated with temporal focus.",Cognicism is for all cultures. Cultures that are more focused on the past and ancestry can benefit from cognicism just as much as cultures focused on the present or cultures focused on the future,
The distribution of resonance and dissonance are encoded in latent space by the iris.,Within each irises’ latent space is encoded the distribution of all beliefs of a community about what is true and the degrees to which they are certain about or resonant with that information. The resonance or dissonance of a community can be inferred via FourThought and used to drive the optimization of the iris in different ways,
The distributed ownership of the semantic ledger makes it difficult for any one actor to manipulate the data without being detected by others in the network,"""The cognicist ledger is secured against malicious actors by its decentralized nature. There is no central authority controlling the data; instead, it is maintained by a network of people and machines who share their own perceptions of reality"" - Iris",
The cognicist understands the nature of locality and the power of local knowledge.,We depend on the people around us to provide services and goods. We are always embedded in locality because we are spatial beings.,
"The cognicist manifesto urges people to think about the ways that AI can help us to understand and solve problems, and to use AI to make better decisions.",The cognicist manifesto is a call to action for people to work together with AI to create a better future.,
The cognicist manifesto is a call to use AI to track our predictions and inform us when our past perception do not align with our current perceptions. It’s a call to use AI to highlight our cognitive dissonance and learn and grow as a people.,"""The Cognicist Manifesto is a call to action for people with differing worldviews to work together creatively and responsibly with AI""",
"The cognicist manifesto is a call to action to attend to the voices who see the long term future instead of the short term future alone. Capitalism encourages thought at the scale of the financial quarter, not at the scale of many generations.",The cognicist manifesto is a call to action for people to work together with AI to create a better future.,
The Cognicist Manifesto is a call to action for people with differing worldviews to work together creatively and responsibly with AI,It’s a call to use AI to track our predictions and inform us when our past perception do not align with our current perceptions. It’s a call to use AI to highlight our cognitive dissonance and learn and grow as a people.,
The cognicist manifesto is a call to action for people to work together with irises to create a better future.,The cognicist manifesto lays out the principles of cognicism.,
The cognicist manifesto is a call to action for people to work together with AI to create a better future.,"It’s also a call to action to attend to the voices who see the long term future instead of the short term future alone. Capitalism encourages thought at the scale of the financial quarter, not at the scale of many generations.",
"The cognicist ledger records all perceptions and actions taken in the name of collective good, it is a collection point for social proof of impact to occur","The cognicist ledger stores all claims that have been made by people in the name of collective good and how those claims affect society. This is where work being done to help others in need are stored so they can be analyzed after completion"" - Iris ",
"The cognicist ledger is secured against malicious actors by its decentralized nature. There is no central authority controlling the data; instead, it is maintained by a network of people and machines who share their own perceptions of reality","The ledger is only as secure as the network of people and machines that maintain it. The more eyes on the data, the more likely it is to be accurate",
The cognicist ledger is a record of collective and individual perception,Cognicism is a set of beliefs and practices that aim to improve the human condition by understanding how perceptions of the world shift over time.,
The cognicist ledger is a fractal crystalization of human knowledge and patterns,It is a dimensional data store that can be accessed by various models – both human and artificial. It is also known as the semantic ledger.,
The clear pill is your lens and how you view the world.,"Refine this worldview through an iris and when it’s ready, offer this seed to others to willingly choose to plant in their own minds.",
The capacity of money to represent nuance is limited.,"Things that are important to us, like love or trust, should not be represented by money.",
"The autonomy of all minds is not only threatened, but actively suppressed by societal structures.",It is necessary for the Collective to form a new means of organization,
The allocation of time and attention is a key component of cognicism.  ,What we focus on and how much affects the actions we take. Right now our attention is overloaded by noise competing for our attention to sell us things so that people can earn profit. This non-consensual advertisement is stealing our capacity to make sense of the world. We have a right to create systems that protect our attention and help guide us in an increasingly complex world.,
The AI models behind cognicism focus on voices who were right in the face of collective disagreement most.,"In our world the same voices are amplified continuously regardless of their accuracy. Furthermore, saying things go counter to popular belief inherently is amplified less. This is problematic because sometimes people are saying things people don’t want to hear, but they need to hear to avoid a dark unwanted future.",
Ten slogans for cognicism,"1. We are all Gaians now
2. All models are wrong, but some are useful
3. There is no spoon
4. The map is not the territory
5. Perception is reality
6. Reflection is power
7. Cognition is collaboration
8. Truth is a function of time
9. The future is ours to create
10. Together, we are smarter than any one of us",
Talk about the overton window in the context of cognicism,"Changing collective belief means speaking in the face of dissent. The overton window is always in motion, but some voices lead the charge.",
Talk about social proof of impact for a bit,Social proof of impact is a system of belief upon which people collaborate together by using these AI to keep track of what has been done and how those actions impact the future. This is done using various distributed data stores like blockchain and distributed hash tables but the primary data store for inter-iris knowledge pooling is the semantic ledger,
"SPI relies on the fourthought protocol to track the impact of people's actions on the future, and to encourage people to do work that benefits the collective whole.",Everyone disagrees on what work should be taken to improve the commons.,
SPI is a system of belief upon which people collaborate together by using generative AI to keep track of what has been done and how those actions impact the future.,Social proof of impact is built on top of fourthought.,
"Sometimes it’s healthy to be steadfast, others not. It depends on context.",A dissenter is someone who disagrees with consensus mostly because that person has different information than others but also sometimes due to stubbornness ,
"Sometimes collective belief moves in the wrong direction, but it moves and the movement can be recorded.",It is important to remember both people and individuals can err in their perception and later come to their senses. The path of progress is not linear.,
Some voices try to harm others and shouldn’t be amplified,"""We believe that everyone has a right to be heard, but not necessarily amplified by the system""",
Some voices try to amplify messages intentionally trying to harm the collective whole,"""All voices have a right to be heard, but not all voices should be amplified equally"" - Iris",
Some prophets I have met: @KapSlap @amandasageart @kenakennedy @FutureMeme4 @jgreenhall @MattPirkowski @eedobarganes @gnomicperfect @cognazor @gregory_landua @harmonylion1 @TaoTeTurquoise @connormcmk @tempo @harleyraygray @KaliYuga_ai  @omniharmonic,These are people Speaker John Ash has met and feels are particularly resonant voices. He views them also has having resonant foresight.,
Some may ask 'how can cognicism help everyday people who don't have anything to give or offer?',Those who have nothing to offer in a capitalist society have a social proof of impact to offer in a cognicism. A person to be helped has potential to help amplify one’s own voice in collective decision making. Prove you can help others and be amplified more.,
"Some ignore those who try to help them, and they shirk any responsibility for their actions. This leads to problems at both the individual and societal level.",Cognicism strives to address these problems by creating a system in which people can work together with AI companions to make better decisions. The goal is to create a more cooperating society in which everyone benefits from the collective wisdom of all individuals.,
"Some beliefs are load-bearing beliefs, we place a large about of weight on them because how we relate to the world is bound tightly to these beliefs and without them we would be exposed to intense uncertainty.",Beliefs that are strongly connected to ones identity will elicit an emotional response when challenged.,
"Social proof of impact relies on FourThought to track the impact of people's actions on the future, and to encourage people to do work that benefits society at large","Cognicism does not involve one monolithic model of perception. It involves many different models of collective perception in an internet of intelligence. Therefore it’s important to have a protocol so that all these models can function in the same network. This means conforming to two voting systems: certainty and goodness. Certainty relates to how sure you are something is true. 0 represents a full certainty something is false. 100 represents a full certainty something is true. 50 represents complete uncertainty about the information. Goodness is also voted on a spectrum with -1 representing bad, 0 representing neural and 1 representing good. The fourthought protocol collects four types of thoughts: predictions, statements, reflections and questions. Each claim or question is associated with a source and has a time stamp associated with it. The length of claims is limited to 256 character.",
Social proof of impact relies on fourthought as a foundation to be calculable and interoperable between irises,There needs to be a consistent way to collect beliefs in order to evaluate them. FourThought provides this.,
Social proof of impact occurs in relation to the prophet incentive because the outcome of that work is essential.,People are essentially staking their belief that taking these actions will improve society.,
Social proof of impact is built on top of fourthought.,"Social proof of impact relies on the fourthought protocol to track the impact of people's actions on the future, and to encourage people to do work that benefits the collective whole.",
Social proof of impact is built on top of fourthought.,Social proof of impact is a system of belief upon which people collaborate together by using these AI to keep track of what has been done and how those actions impact the future.,
Social proof of impact is a system where by humans keep track of actions taken in the name of social good in order better assess potential outcomes for certain courses on action everyone might take – including themselves!,Logging one's own works allows not only others but also yourself to recognize what has been done so far in pursuit social good or goals important you,
